check,fund,source_a,value_a,source_b,value_b,diff,flag
flow:mon1Redemption,CIEI,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CIEI,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CIEI,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CIEI,AP_orders,2253220.00,TB@20260624,2003220.00,250000.00,REVIEW
flow:mon3Redemption,CIEI,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CIVG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CIVG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CIVG,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CIVG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CIVG,AP_orders,4253878.00,TB@20260624,4003878.00,250000.00,REVIEW
flow:mon3Redemption,CIVG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CJUN,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CJUN,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CJUN,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CJUN,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CJUN,AP_orders,1376042.50,TB@20260624,1126042.50,250000.00,REVIEW
flow:mon3Redemption,CJUN,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CMAG,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,CMAG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CMAG,AP_orders,2294757.00,TB@20260624,2169757.00,125000.00,REVIEW
flow:mon2Redemption,CMAG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CMAG,AP_orders,6815911.00,TB@20260624,6815911.00,0.00,
flow:mon3Redemption,CMAG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CMAY,AP_orders,1000000.00,TB@20260624,25.00,999975.00,REVIEW
flow:mon1Redemption,CMAY,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CMAY,AP_orders,4273715.00,TB@20260624,5273690.00,-999975.00,REVIEW
flow:mon2Redemption,CMAY,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CMAY,AP_orders,256324.00,TB@20260624,256324.00,0.00,
flow:mon3Redemption,CMAY,AP_orders,642990.00,TB@20260624,642990.00,0.00,
flow:mon1Sales,COIX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,COIX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,COIX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,COIX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,COIX,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon3Redemption,COIX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CQTM,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,CQTM,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CQTM,AP_orders,7884070.00,TB@20260624,7759070.00,125000.00,
flow:mon2Redemption,CQTM,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CQTM,AP_orders,7630580.00,TB@20260624,7630580.00,0.00,
flow:mon3Redemption,CQTM,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CRUC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CRUC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CRUC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,CRUC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CRUC,AP_orders,250000.00,TB@20260624,250000.00,0.00,
flow:mon3Redemption,CRUC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CTJN,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CTJN,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CTJN,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CTJN,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CTJN,AP_orders,1000000.00,TB@20260624,750000.00,250000.00,REVIEW
flow:mon3Redemption,CTJN,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CTMA,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,CTMA,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CTMA,AP_orders,5156498.50,TB@20260624,5031498.50,125000.00,
flow:mon2Redemption,CTMA,AP_orders,0.00,TB@20260624,0.00,0.00,
